"Notes","County","County Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Guthrie County, IA","19077",862,174972,492.650,284.213
,"Hamilton County, IA","19079",950,246576,385.277,227.463
,"Hancock County, IA","19081",731,182068,401.498,230.716
,"Hardin County, IA","19083",1414,281760,501.846,262.873
,"Harrison County, IA","19085",998,237688,419.878,265.357
,"Henry County, IA","19087",1381,313744,440.168,301.571
,"Howard County, IA","19089",704,153187,459.569,259.247
,"Humboldt County, IA","19091",794,157300,504.768,268.737
,"Ida County, IA","19093",535,115331,463.882,240.401
,"Iowa County, IA","19095",949,258535,367.068,220.942
,"Jackson County, IA","19097",1372,315087,435.435,278.879
,"Jasper County, IA","19099",1991,588192,338.495,240.031
,"Jefferson County, IA","19101",949,247705,383.117,264.120
,"Johnson County, IA","19103",2997,1939272,154.543,197.419
,"Jones County, IA","19105",1098,326399,336.398,226.011
,"Keokuk County, IA","19107",670,169787,394.612,230.893
,"Kossuth County, IA","19109",1164,251382,463.040,236.126
,"Lee County, IA","19111",2572,570416,450.899,312.406
,"Linn County, IA","19113",7606,3248256,234.156,206.303
,"Louisa County, IA","19115",623,183064,340.318,268.603
,"Lucas County, IA","19117",623,144377,431.509,246.651
,"Lyon County, IA","19119",723,185806,389.116,241.860
,"Madison County, IA","19121",648,242385,267.343,207.278
,"Mahaska County, IA","19123",1348,352531,382.378,259.792
,"Marion County, IA","19125",1909,521575,366.007,266.028
,"Marshall County, IA","19127",2337,625661,373.525,260.366
,"Mills County, IA","19129",678,236364,286.846,253.909
,"Mitchell County, IA","19131",887,171790,516.328,242.465
,"Monona County, IA","19133",970,147826,656.177,304.468
,"Monroe County, IA","19135",606,126289,479.852,299.303
,"Montgomery County, IA","19137",901,172313,522.886,281.795
,"Muscatine County, IA","19139",2017,668251,301.833,257.305
,"O'Brien County, IA","19141",1021,228124,447.564,222.737
,"Osceola County, IA","19143",579,103529,559.264,311.476
,"Page County, IA","19145",1121,252635,443.723,252.089
,"Palo Alto County, IA","19147",696,150650,461.998,233.975
,"Plymouth County, IA","19149",1298,395050,328.566,218.243
,"Pocahontas County, IA","19151",623,120126,518.622,269.067
,"Polk County, IA","19153",14796,6476765,228.447,236.104
,"Pottawattamie County, IA","19155",4430,1442868,307.027,261.201
,"Poweshiek County, IA","19157",1304,296295,440.102,255.550
,"Ringgold County, IA","19159",412,82415,499.909,220.516
,"Sac County, IA","19161",882,167148,527.676,251.308
,"Scott County, IA","19163",6798,2553203,266.254,237.845
,"Shelby County, IA","19165",813,195976,414.847,213.673
,"Sioux County, IA","19167",1366,528954,258.246,187.649
,"Story County, IA","19169",2532,1317564,192.173,201.068
,"Tama County, IA","19171",1031,260027,396.497,224.871
,"Taylor County, IA","19173",506,102429,494.001,252.988
,"Union County, IA","19175",988,196364,503.147,313.701
,"Van Buren County, IA","19177",510,120225,424.205,261.727
,"Wapello County, IA","19179",2337,558927,418.123,298.631
,"Warren County, IA","19181",1771,717995,246.659,221.854
,"Washington County, IA","19183",1345,344008,390.979,233.966
,"Wayne County, IA","19185",628,102811,610.830,307.895
,"Webster County, IA","19187",2540,603287,421.027,289.878
,"Winnebago County, IA","19189",723,173587,416.506,223.295
,"Winneshiek County, IA","19191",1061,331694,319.873,204.399
,"Woodbury County, IA","19193",4274,1539920,277.547,239.712
,"Worth County, IA","19195",548,121585,450.713,268.466
,"Wright County, IA","19197",913,212391,429.868,220.151
,"Allen County, KS","20001",1045,212017,492.885,315.103
,"Anderson County, KS","20003",525,126996,413.399,237.460
,"Atchison County, KS","20005",891,265153,336.032,255.955
,"Barber County, KS","20007",387,77967,496.364,285.951
,"Barton County, KS","20009",1636,434033,376.930,251.577
,"Bourbon County, KS","20011",1028,236129,435.355,289.855
,"Brown County, KS","20013",717,144185,497.278,284.930
,"Butler County, KS","20015",3035,1005216,301.925,268.444
,"Chase County, KS","20017",172,44863,383.389,226.860
,"Chautauqua County, KS","20019",332,57342,578.982,288.748
,"Cherokee County, KS","20021",1498,325307,460.488,351.045
,"Cheyenne County, KS","20023",210,44417,472.792,206.977
,"Clark County, KS","20025",213,35044,607.807,280.255
,"Clay County, KS","20027",498,134397,370.544,194.775
,"Cloud County, KS","20029",785,151620,517.742,251.283
,"Coffey County, KS","20031",534,135570,393.892,267.191
,"Comanche County, KS","20033",170,30166,563.548,278.699
,"Cowley County, KS","20035",2146,551454,389.153,278.633
,"Crawford County, KS","20037",2371,604445,392.261,303.819
,"Decatur County, KS","20039",275,48634,565.448,235.830
,"Dickinson County, KS","20041",1345,307140,437.911,270.407
,"Doniphan County, KS","20043",451,124935,360.988,254.209
,"Douglas County, KS","20045",2773,1625399,170.604,205.617
,"Edwards County, KS","20047",224,48748,459.506,263.720
,"Elk County, KS","20049",275,45247,607.775,289.569
,"Ellis County, KS","20051",1221,443769,275.143,224.831
,"Ellsworth County, KS","20053",509,101739,500.300,279.869
,"Finney County, KS","20055",849,562501,150.933,205.724
,"Ford County, KS","20057",1291,512301,252.000,262.353
,"Franklin County, KS","20059",1237,403175,306.815,258.274
,"Geary County, KS","20061",919,475444,193.293,282.237
,"Gove County, KS","20063",241,44255,544.571,254.612
,"Graham County, KS","20065",216,42441,508.942,249.336
,"Grant County, KS","20067",287,121321,236.563,283.301
,"Gray County, KS","20069",266,94491,281.508,240.389
,"Greeley County, KS","20071",58,20757,279.424,149.694
,"Greenwood County, KS","20073",635,108017,587.870,315.707
,"Hamilton County, KS","20075",152,41030,370.461,291.536
,"Harper County, KS","20077",495,95016,520.965,268.648
,"Harvey County, KS","20079",1895,536680,353.097,219.596
,"Haskell County, KS","20081",169,65550,257.818,272.954
,"Hodgeman County, KS","20083",125,31677,394.608,219.108
,"Jackson County, KS","20085",671,192505,348.562,257.943
,"Jefferson County, KS","20087",870,298914,291.054,236.614
,"Jewell County, KS","20089",256,50589,506.039,233.646
,"Johnson County, KS","20091",17933,8069746,222.225,220.632
,"Kearny County, KS","20093",157,63810,246.043,226.455
,"Kingman County, KS","20095",616,126973,485.143,261.288
,"Kiowa County, KS","20097",145,43493,333.387,192.764
,"Labette County, KS","20099",1470,333884,440.273,296.920
,"Lane County, KS","20101",168,28451,590.489,324.120
,"Leavenworth County, KS","20103",2706,1164354,232.404,255.136
,"Lincoln County, KS","20105",276,52480,525.915,267.316
,"Linn County, KS","20107",587,153620,382.112,263.429
,"Logan County, KS","20109",190,44823,423.890,231.870
,"Lyon County, KS","20111",1481,534873,276.888,247.418
,"McPherson County, KS","20113",1915,461687,414.783,234.964
,"Marion County, KS","20115",849,200930,422.535,210.432
,"Marshall County, KS","20117",796,161720,492.209,246.506
,"Meade County, KS","20119",228,70822,321.934,198.561
,"Miami County, KS","20121",1412,499183,282.862,257.710
,"Mitchell County, KS","20123",490,101930,480.722,233.433
,"Montgomery County, KS","20125",2442,528086,462.425,300.400
,"Morris County, KS","20127",412,93055,442.749,232.265
,"Morton County, KS","20129",177,49690,356.208,246.306
,"Nemaha County, KS","20131",774,163264,474.079,225.258
,"Neosho County, KS","20133",1056,259260,407.313,270.505
,"Ness County, KS","20135",276,49938,552.685,239.432
,"Norton County, KS","20137",408,90179,452.433,258.213
,"Osage County, KS","20139",1107,259304,426.912,304.605
,"Osborne County, KS","20141",410,62415,656.893,271.607
,"Ottawa County, KS","20143",408,96700,421.923,285.907
,"Pawnee County, KS","20145",377,109167,345.342,213.723
,"Phillips County, KS","20147",468,88804,527.003,282.652
,"Pottawatomie County, KS","20149",931,328887,283.076,255.976
,"Pratt County, KS","20151",627,152666,410.700,240.561
,"Rawlins County, KS","20153",230,42236,544.559,218.965
,"Reno County, KS","20155",3187,1007974,316.179,213.576
,"Republic County, KS","20157",453,80715,561.234,235.686
,"Rice County, KS","20159",646,160410,402.718,263.820
,"Riley County, KS","20161",1468,1047848,140.097,195.389
,"Rooks County, KS","20163",345,83709,412.142,230.773
,"Rush County, KS","20165",311,52163,596.208,263.836
,"Russell County, KS","20167",580,110192,526.354,260.607
,"Saline County, KS","20169",2621,850840,308.049,247.912
,"Scott County, KS","20171",274,76868,356.455,223.826
,"Sedgwick County, KS","20173",18842,7310471,257.740,253.420
,"Seward County, KS","20175",627,347395,180.486,233.339
,"Shawnee County, KS","20177",8376,2713578,308.670,250.653
,"Sheridan County, KS","20179",173,41079,421.140,220.588
,"Sherman County, KS","20181",350,96934,361.070,240.462
,"Smith County, KS","20183",379,62877,602.764,234.739
,"Stafford County, KS","20185",371,69495,533.851,284.011
,"Stanton County, KS","20187",84,34781,241.511,179.065
,"Stevens County, KS","20189",210,87818,239.131,196.907
,"Sumner County, KS","20191",1388,381917,363.430,261.957
,"Thomas County, KS","20193",407,124539,326.805,230.140
,"Trego County, KS","20195",302,47726,632.779,293.928
,"Wabaunsee County, KS","20197",308,109915,280.217,223.709
,"Wallace County, KS","20199",96,24433,392.911,205.574
,"Washington County, KS","20201",471,93217,505.273,230.896
,"Wichita County, KS","20203",122,36079,338.147,212.632
,"Wilson County, KS","20205",762,149267,510.495,312.180
,"Woodson County, KS","20207",269,53236,505.297,251.387
,"Wyandotte County, KS","20209",6484,2404431,269.669,289.982
,"Adair County, KY","21001",1128,295235,382.069,331.356
,"Allen County, KY","21003",1149,311432,368.941,341.668
,"Anderson County, KY","21005",912,331902,274.780,278.644
,"Ballard County, KY","21007",620,131064,473.051,352.809
,"Barren County, KY","21009",2386,657283,363.010,295.697
,"Bath County, KY","21011",749,186302,402.035,355.308
,"Bell County, KY","21013",2189,455394,480.683,416.467
,"Boone County, KY","21015",3246,1761203,184.306,249.480
,"Bourbon County, KY","21017",1104,315848,349.535,291.038
,"Boyd County, KY","21019",3369,781620,431.028,339.543
,"Boyle County, KY","21021",1510,450986,334.822,265.045
,"Bracken County, KY","21023",457,134704,339.262,326.375
,"Breathitt County, KY","21025",1034,226605,456.301,453.234
,"Breckinridge County, KY","21027",1191,313921,379.395,334.382
,"Bullitt County, KY","21029",2154,1142599,188.518,236.221
,"Butler County, KY","21031",708,204380,346.414,296.034
,"Caldwell County, KY","21033",944,204483,461.652,336.937
,"Calloway County, KY","21035",2020,575121,351.230,295.039
,"Campbell County, KY","21037",4033,1418069,284.401,268.630
,"Carlisle County, KY","21039",423,81139,521.328,343.567
,"Carroll County, KY","21041",538,168762,318.792,305.254
,"Carter County, KY","21043",1471,438030,335.822,304.565
,"Casey County, KY","21045",932,252497,369.113,301.253
,"Christian County, KY","21047",3039,1137759,267.104,319.593
,"Clark County, KY","21049",1807,556039,324.977,293.099
,"Clay County, KY","21051",1243,355250,349.894,378.073
,"Clinton County, KY","21053",721,159792,451.212,385.869
,"Crittenden County, KY","21055",853,147120,579.799,424.110
,"Cumberland County, KY","21057",653,110831,589.185,407.948
,"Daviess County, KY","21059",4645,1512753,307.056,256.839
,"Edmonson County, KY","21061",622,191159,325.384,266.094
,"Elliott County, KY","21063",325,117064,277.626,259.783
,"Estill County, KY","21065",884,234738,376.590,338.490
,"Fayette County, KY","21067",9570,4464724,214.347,235.644
,"Fleming County, KY","21069",943,228809,412.134,382.153
,"Floyd County, KY","21071",2444,634717,385.053,366.851
,"Franklin County, KY","21073",2284,773270,295.369,266.338
,"Fulton County, KY","21075",606,108725,557.370,393.569
,"Gallatin County, KY","21077",506,132855,380.866,449.234
,"Garrard County, KY","21079",688,263881,260.724,236.707
,"Grant County, KY","21081",1109,385826,287.435,347.113
,"Graves County, KY","21083",2310,588697,392.392,299.584
,"Grayson County, KY","21085",1439,405199,355.134,327.444
,"Green County, KY","21087",811,180385,449.594,325.409
,"Greenup County, KY","21089",2235,581694,384.223,313.443
,"Hancock County, KY","21091",385,136436,282.184,272.690
,"Hardin County, KY","21093",3731,1568976,237.798,268.838
,"Harlan County, KY","21095",2110,471005,447.978,386.569
,"Harrison County, KY","21097",1232,294779,417.940,355.337
,"Hart County, KY","21099",1026,289010,355.005,324.028
,"Henderson County, KY","21101",2457,728285,337.368,302.603
,"Henry County, KY","21103",814,244994,332.253,310.341
,"Hickman County, KY","21105",390,78429,497.265,296.141
,"Hopkins County, KY","21107",3231,739838,436.717,357.646
,"Jackson County, KY","21109",925,215117,429.999,422.256
,"Jefferson County, KY","21111",34527,11396954,302.949,267.044
,"Jessamine County, KY","21113",1542,736772,209.291,221.556
,"Johnson County, KY","21115",1362,370492,367.619,344.595
,"Kenton County, KY","21117",6407,2492962,257.004,269.673
,"Knott County, KY","21119",1018,264383,385.047,368.499
,"Knox County, KY","21121",1949,504013,386.696,356.546
,"Larue County, KY","21123",792,221891,356.932,279.644
,"Laurel County, KY","21125",2870,917132,312.932,326.413
,"Lawrence County, KY","21127",986,251711,391.719,388.537
,"Lee County, KY","21129",500,120642,414.449,382.857
,"Leslie County, KY","21131",688,182441,377.108,353.944
,"Letcher County, KY","21133",1667,386264,431.570,402.388
,"Lewis County, KY","21135",787,220389,357.096,330.721
,"Lincoln County, KY","21137",1211,390008,310.506,283.888
,"Livingston County, KY","21139",695,151220,459.595,360.758
,"Logan County, KY","21141",1437,425156,337.994,290.755
,"Lyon County, KY","21143",562,132208,425.088,289.772
,"McCracken County, KY","21145",5131,1028975,498.652,361.361
,"McCreary County, KY","21147",872,282525,308.645,338.730
,"McLean County, KY","21149",605,153843,393.258,311.826
,"Madison County, KY","21151",3076,1286331,239.130,270.282
,"Magoffin County, KY","21153",607,209771,289.363,297.618
,"Marion County, KY","21155",953,307099,310.323,278.491
,"Marshall County, KY","21157",2382,494280,481.913,341.584
,"Martin County, KY","21159",722,204732,352.656,379.459
,"Mason County, KY","21161",1112,272306,408.364,340.948
,"Meade County, KY","21163",930,456335,203.798,259.088
,"Menifee County, KY","21165",384,103053,372.624,337.523
,"Mercer County, KY","21167",1195,336914,354.690,286.693
,"Metcalfe County, KY","21169",642,160145,400.887,335.969
,"Monroe County, KY","21171",950,176875,537.102,433.213
,"Montgomery County, KY","21173",1323,408916,323.538,306.656
,"Morgan County, KY","21175",654,220438,296.682,291.210
,"Muhlenberg County, KY","21177",1936,501682,385.902,308.450
,"Nelson County, KY","21179",1755,672338,261.029,281.829
,"Nicholas County, KY","21181",515,112919,456.079,369.511
,"Ohio County, KY","21183",1404,378355,371.080,314.331
,"Oldham County, KY","21185",1540,913184,168.641,240.414
,"Owen County, KY","21187",693,171848,403.263,362.912
,"Owsley County, KY","21189",380,75029,506.471,409.495
,"Pendleton County, KY","21191",720,234296,307.304,317.574
,"Perry County, KY","21193",2111,453785,465.198,451.752
,"Pike County, KY","21195",4166,1032818,403.362,381.815
,"Powell County, KY","21197",690,203305,339.392,379.517
,"Pulaski County, KY","21199",3608,976175,369.606,309.336
,"Robertson County, KY","21201",192,35897,534.864,377.584
,"Rockcastle County, KY","21203",1017,269633,377.179,348.610
,"Rowan County, KY","21205",1020,368112,277.090,310.497
,"Russell County, KY","21207",1117,274863,406.384,313.451
,"Scott County, KY","21209",1539,703592,218.735,290.360
,"Shelby County, KY","21211",1946,641557,303.325,322.750
,"Simpson County, KY","21213",1096,273500,400.731,364.173
,"Spencer County, KY","21215",602,256461,234.734,300.722
,"Taylor County, KY","21217",1376,386766,355.771,296.650
,"Todd County, KY","21219",715,195143,366.398,335.950
,"Trigg County, KY","21221",802,220373,363.928,280.726
,"Trimble County, KY","21223",412,138937,296.537,289.238
,"Union County, KY","21225",857,241189,355.323,329.017
,"Warren County, KY","21227",4322,1700323,254.187,282.318
,"Washington County, KY","21229",650,184737,351.852,278.515
,"Wayne County, KY","21231",1141,326453,349.514,311.068
,"Webster County, KY","21233",829,216849,382.294,313.175
,"Whitley County, KY","21235",2455,571637,429.468,408.279
,"Wolfe County, KY","21237",581,114989,505.266,441.486
,"Woodford County, KY","21239",966,389890,247.762,245.576
,"Acadia Parish, LA","22001",3404,969510,351.105,347.745
,"Allen Parish, LA","22003",1026,396800,258.569,262.994
,"Ascension Parish, LA","22005",3277,1602830,204.451,291.205
,"Assumption Parish, LA","22007",1192,368408,323.554,309.010
,"Avoyelles Parish, LA","22009",2763,652779,423.267,369.847
,"Beauregard Parish, LA","22011",2044,549295,372.113,380.599
,"Bienville Parish, LA","22013",1111,230822,481.323,334.915
,"Bossier Parish, LA","22015",4491,1782087,252.008,274.260
,"Caddo Parish, LA","22017",13067,3965016,329.557,291.252
,"Calcasieu Parish, LA","22019",11048,2997758,368.542,373.745
,"Caldwell Parish, LA","22021",781,161912,482.361,426.030
,"Cameron Parish, LA","22023",302,125128,241.353,256.709
,"Catahoula Parish, LA","22025",846,165370,511.580,464.557
,"Claiborne Parish, LA","22027",1161,267327,434.300,331.018
,"Concordia Parish, LA","22029",1306,323024,404.304,354.178
,"De Soto Parish, LA","22031",1674,418264,400.226,350.192
,"East Baton Rouge Parish, LA","22033",17761,6683642,265.738,287.718
,"East Carroll Parish, LA","22035",434,127334,340.836,340.267
,"East Feliciana Parish, LA","22037",1328,321567,412.978,416.292
,"Evangeline Parish, LA","22039",1805,544732,331.356,323.931
,"Franklin Parish, LA","22041",2206,329460,669.581,537.910
,"Grant Parish, LA","22043",988,335344,294.623,309.300
,"Iberia Parish, LA","22045",3731,1137541,327.988,333.620
,"Iberville Parish, LA","22047",1509,528664,285.436,301.152
,"Jackson Parish, LA","22049",1186,253203,468.399,366.943
,"Jefferson Parish, LA","22051",20435,6708428,304.617,275.041
,"Jefferson Davis Parish, LA","22053",2069,497538,415.848,370.089
,"Lafayette Parish, LA","22055",7920,3391314,233.538,276.122
,"Lafourche Parish, LA","22057",4089,1462681,279.555,280.801
,"LaSalle Parish, LA","22059",930,231601,401.553,354.496
,"Lincoln Parish, LA","22061",1494,715879,208.694,217.549
,"Livingston Parish, LA","22063",4269,1915211,222.900,286.867
,"Madison Parish, LA","22065",969,196224,493.823,507.384
,"Morehouse Parish, LA","22067",2057,450906,456.193,376.505
,"Natchitoches Parish, LA","22069",2061,615892,334.637,321.521
,"Orleans Parish, LA","22071",17609,6000831,293.443,302.812
,"Ouachita Parish, LA","22073",6753,2408297,280.406,284.733
,"Plaquemines Parish, LA","22075",1000,374119,267.295,310.919
,"Pointe Coupee Parish, LA","22077",1462,358948,407.301,338.586
,"Rapides Parish, LA","22079",7639,2035773,375.238,348.145
,"Red River Parish, LA","22081",580,145064,399.824,352.222
,"Richland Parish, LA","22083",1518,329019,461.372,397.522
,"Sabine Parish, LA","22085",1480,346301,427.374,329.127
,"St. Bernard Parish, LA","22087",2127,724397,293.624,333.259
,"St. Charles Parish, LA","22089",1807,815056,221.703,273.828
,"St. Helena Parish, LA","22091",572,172117,332.332,307.056
,"St. James Parish, LA","22093",1034,345357,299.400,303.096
,"St. John the Baptist Parish, LA","22095",2018,710895,283.868,342.561
,"St. Landry Parish, LA","22097",5072,1339346,378.692,354.280
,"St. Martin Parish, LA","22099",2355,814593,289.101,316.730
,"St. Mary Parish, LA","22101",2545,824890,308.526,307.395
,"St. Tammany Parish, LA","22103",8660,3566334,242.826,247.355
,"Tangipahoa Parish, LA","22105",5673,1848039,306.974,343.591
,"Tensas Parish, LA","22107",455,85867,529.889,397.454
,"Terrebonne Parish, LA","22109",4733,1637960,288.957,321.010
,"Union Parish, LA","22111",1385,359952,384.774,319.432
,"Vermilion Parish, LA","22113",3410,893360,381.705,350.845
,"Vernon Parish, LA","22115",1834,787882,232.776,333.021
,"Washington Parish, LA","22117",3054,729289,418.764,368.380
,"Webster Parish, LA","22119",2945,650057,453.037,351.105
,"West Baton Rouge Parish, LA","22121",924,372444,248.091,280.596
,"West Carroll Parish, LA","22123",872,185780,469.372,372.116
,"West Feliciana Parish, LA","22125",518,246225,210.377,236.015
,"Winn Parish, LA","22127",1040,244323,425.666,367.687
,"Androscoggin County, ME","23001",4970,1690851,293.935,243.041
,"Aroostook County, ME","23003",4362,1117740,390.252,260.140
,"Cumberland County, ME","23005",10432,4371805,238.620,189.150
,"Franklin County, ME","23007",1422,480635,295.859,233.180
,"Hancock County, ME","23009",2808,851406,329.807,227.790
,"Kennebec County, ME","23011",5755,1904998,302.100,238.040
,"Knox County, ME","23013",2109,634478,332.399,207.367
,"Lincoln County, ME","23015",1854,545498,339.873,202.190
,"Oxford County, ME","23017",2707,904657,299.229,222.891
,"Penobscot County, ME","23019",7092,2367568,299.548,252.416
,"Piscataquis County, ME","23021",1109,273794,405.049,261.927
,"Sagadahoc County, ME","23023",1631,560906,290.780,227.829
,"Somerset County, ME","23025",2657,816470,325.425,260.933
,"Waldo County, ME","23027",1833,610616,300.189,246.883
,"Washington County, ME","23029",1974,494433,399.245,260.127
,"York County, ME","23031",7977,3116647,255.948,204.564
,"Allegany County, MD","24001",5771,1171952,492.426,337.256
,"Anne Arundel County, MD","24003",19275,8155388,236.347,252.662
,"Baltimore County, MD","24005",41212,12101384,340.556,256.639
,"Calvert County, MD","24009",3240,1362079,237.872,269.706
,"Caroline County, MD","24011",1617,503760,320.986,289.147
,"Carroll County, MD","24013",7336,2593155,282.899,264.587
,"Cecil County, MD","24015",4109,1549289,265.218,288.683
,"Charles County, MD","24017",4479,2202266,203.381,273.729
,"Dorchester County, MD","24019",2155,503373,428.112,308.447
,"Frederick County, MD","24021",8373,3500193,239.215,249.876
,"Garrett County, MD","24023",1857,477346,389.026,293.758
,"Harford County, MD","24025",9349,3745284,249.621,257.811
,"Howard County, MD","24027",6391,3868353,165.212,199.536
,"Kent County, MD","24029",1389,313058,443.688,257.410
,"Montgomery County, MD","24031",26646,13026344,204.555,176.014
,"Prince George's County, MD","24033",28580,13030838,219.326,289.576
,"Queen Anne's County, MD","24035",1857,731396,253.898,235.266
,"St. Mary's County, MD","24037",3592,1579245,227.450,270.907
,"Somerset County, MD","24039",1605,410433,391.050,355.513
,"Talbot County, MD","24041",2428,579368,419.077,229.870
,"Washington County, MD","24043",7617,2272035,335.250,277.825
,"Wicomico County, MD","24045",5065,1488686,340.233,316.556
,"Worcester County, MD","24047",3213,798725,402.266,252.867
,"Baltimore city, MD","24510",36419,9677606,376.322,370.688
,"Barnstable County, MA","25001",14223,3428072,414.898,202.229
,"Berkshire County, MA","25003",7527,2062435,364.957,220.255
,"Bristol County, MA","25005",26203,8538289,306.888,243.127
,"Dukes County, MA","25007",680,253862,267.862,198.378
,"Essex County, MA","25009",31793,11413488,278.556,216.530
,"Franklin County, MA","25011",3231,1120550,288.341,214.739
,"Hampden County, MA","25013",21801,7190381,303.197,237.046
,"Hampshire County, MA","25015",6194,2391113,259.043,221.399
,"Middlesex County, MA","25017",52589,21676247,242.611,198.750
,"Nantucket County, MA","25019",363,159865,227.067,234.742
,"Norfolk County, MA","25021",27178,9746179,278.858,203.087
,"Plymouth County, MA","25023",20604,7749384,265.879,232.912
,"Suffolk County, MA","25025",21189,10462840,202.517,218.787
,"Worcester County, MA","25027",33015,12102108,272.804,230.207
,"Alcona County, MI","26001",1033,175299,589.279,299.632
,"Alger County, MI","26003",600,145434,412.558,249.900
,"Allegan County, MI","26005",4445,1754593,253.335,244.947
,"Alpena County, MI","26007",2031,472899,429.479,280.225
,"Antrim County, MI","26009",1310,373573,350.668,227.749
,"Arenac County, MI","26011",1207,256521,470.527,325.787
,"Baraga County, MI","26013",596,119476,498.845,314.713
,"Barry County, MI","26015",2554,936992,272.574,250.292
,"Bay County, MI","26017",7180,1703311,421.532,308.378
,"Benzie County, MI","26019",998,273406,365.025,235.186
,"Berrien County, MI","26021",9562,2455635,389.390,293.662
,"Branch County, MI","26023",2383,716876,332.415,292.184
,"Calhoun County, MI","26025",7263,2128674,341.198,276.723
,"Cass County, MI","26027",2672,815760,327.547,269.499
,"Charlevoix County, MI","26029",1373,410768,334.252,237.780
,"Cheboygan County, MI","26031",1590,406752,390.902,252.452
,"Chippewa County, MI","26033",1682,509809,329.927,265.874
,"Clare County, MI","26035",2271,492298,461.306,340.863
,"Clinton County, MI","26037",2952,1155560,255.461,243.200
,"Crawford County, MI","26039",846,225273,375.544,268.444
,"Delta County, MI","26041",2221,577848,384.357,243.085
,"Dickinson County, MI","26043",1897,418691,453.079,270.361
,"Eaton County, MI","26045",4681,1681730,278.344,248.877
,"Emmet County, MI","26047",1635,500007,326.995,228.910
,"Genesee County, MI","26049",23608,6733462,350.607,325.915
,"Gladwin County, MI","26051",1773,413096,429.198,287.645
,"Gogebic County, MI","26053",1482,254855,581.507,295.436
,"Grand Traverse County, MI","26055",3706,1352292,274.053,212.195
,"Gratiot County, MI","26057",2835,668679,423.970,329.011
,"Hillsdale County, MI","26059",2638,741184,355.917,299.711
,"Houghton County, MI","26061",2298,559720,410.562,305.193
,"Huron County, MI","26063",2881,532774,540.755,313.491
,"Ingham County, MI","26065",10449,4236401,246.648,268.313
,"Ionia County, MI","26067",2456,1014069,242.193,270.170
,"Iosco County, MI","26069",2334,413251,564.790,315.925
,"Iron County, MI","26071",1262,189253,666.832,282.362
,"Isabella County, MI","26073",2370,1036768,228.595,278.022
,"Jackson County, MI","26075",8230,2538254,324.239,276.458
,"Kalamazoo County, MI","26077",9626,3867098,248.921,234.372
,"Kalkaska County, MI","26079",907,272777,332.506,310.213
,"Kent County, MI","26081",22177,9348675,237.221,240.180
,"Keweenaw County, MI","26083",121,34563,350.085,221.660
,"Lake County, MI","26085",872,182229,478.519,318.694
,"Lapeer County, MI","26087",4145,1416525,292.617,306.685
,"Leelanau County, MI","26089",983,331399,296.621,160.030
,"Lenawee County, MI","26091",5195,1579894,328.820,279.522
,"Livingston County, MI","26093",6475,2831385,228.687,253.768
,"Luce County, MI","26095",367,100058,366.787,260.180
,"Mackinac County, MI","26097",646,146757,440.183,244.112
,"Macomb County, MI","26099",46150,12895732,357.870,293.322
,"Manistee County, MI","26101",1600,386250,414.239,262.383
,"Marquette County, MI","26103",3463,1034008,334.910,266.577
,"Mason County, MI","26105",1780,451790,393.988,265.609
,"Mecosta County, MI","26107",1999,671187,297.831,275.534
,"Menominee County, MI","26109",1542,375228,410.950,255.983
,"Midland County, MI","26111",3687,1304145,282.714,232.469
,"Missaukee County, MI","26113",847,237053,357.304,283.765
,"Monroe County, MI","26115",7271,2387485,304.546,281.817
,"Montcalm County, MI","26117",3116,998329,312.122,287.915
,"Montmorency County, MI","26119",906,156429,579.176,307.904
,"Muskegon County, MI","26121",8442,2707732,311.774,276.645
,"Newaygo County, MI","26123",2183,767318,284.497,248.160
,"Oakland County, MI","26125",54552,18147780,300.599,260.467
,"Oceana County, MI","26127",1414,420884,335.960,272.652
,"Ogemaw County, MI","26129",1812,341854,530.051,349.985
,"Ontonagon County, MI","26131",707,108676,650.558,334.931
,"Osceola County, MI","26133",1287,373232,344.826,294.261
,"Oscoda County, MI","26135",724,140335,515.908,333.036
,"Otsego County, MI","26137",1196,383888,311.549,249.443
,"Ottawa County, MI","26139",8212,4059434,202.294,200.849
,"Presque Isle County, MI","26141",1035,215129,481.107,240.978
,"Roscommon County, MI","26143",2272,392614,578.685,321.624
,"Saginaw County, MI","26145",11070,3171255,349.073,279.264
,"St. Clair County, MI","26147",9287,2592822,358.181,308.935
,"St. Joseph County, MI","26149",3585,972892,368.489,310.800
,"Sanilac County, MI","26151",2749,689374,398.768,295.823
,"Schoolcraft County, MI","26153",583,124237,469.264,266.608
,"Shiawassee County, MI","26155",3581,1122474,319.027,286.352
,"Tuscola County, MI","26157",3120,889703,350.679,287.538
,"Van Buren County, MI","26159",3775,1195734,315.706,288.869
,"Washtenaw County, MI","26161",10244,5036946,203.377,231.098
,"Wayne County, MI","26163",111733,28989721,385.423,360.004
,"Wexford County, MI","26165",1700,509941,333.372,272.680
,"Aitkin County, MN","27001",942,248048,379.765,201.497
,"Anoka County, MN","27003",6250,4982263,125.445,165.487
,"Becker County, MN","27005",1479,469009,315.346,216.309
,"Beltrami County, MN","27007",1267,540280,234.508,181.072
,"Benton County, MN","27009",1635,598633,273.122,239.053
,"Big Stone County, MN","27011",468,84524,553.689,235.495
